Sco1,Sco2,Sco3,Sco4,Sco5
B777394,0.915296559815882,0.86801,0.018172131004631,638.604745
B777394,0.894392170344245,0.893900994638377,0.006196696884999,341.26215
C777394,0.91736404440878,0.89178,0.013868182552454,614.110317
C777394,0.918234543787619,0.918837285804001,0.003531887737713,318.291151
D777394,0.921292620130417,0.862142,0.016210681153706,615.380939
D777394,0.890587939583667,0.890507480145856,0.004331516860047,319.255581
E777394,0.908868473078265,0.894329,0.013620608433004,503.613614
E777394,0.916521924449891,0.91687131434416,0.002958045285188,241.992356
F777394,0.910700567724045,0.8877,0.016888580063384,512.124333
F777394,0.919943901375677,0.919808570212811,0.004057749839765,243.182001
G777394,0.907979813580334,0.872001,0.01655233935283,511.046391
G777394,0.885372472575775,0.885348340586945,0.004832130069443,244.306557
H777394,0.857616850657025,0.815654,0.015107110266054,502.174134
H777394,0.826302766441708,0.826836477613125,0.002795502533677,243.812079
A789355,0.832160231860056,0.858415,0.015516811816905,465.002996
A789355,0.905001489004874,0.905214310350234,0.005942869279445,221.063612
B789355,0.841011953115933,0.858132,0.016322295642594,466.987344
B789355,0.844038986787195,0.844519046694226,0.007284987994571,223.371539
C789355,0.863702642336382,0.800861,0.010295550972002,461.232549
C789355,0.736298824342291,0.735853398322281,0.003770347002005,222.657302
D789355,0.849848424937393,0.868225,0.012409457899826,453.60502
D789355,0.880354783921495,0.879193366000754,0.004795757934653,219.358389
E789355,0.899196211815772,0.828247,0.016381523533058,463.119624
E789355,0.782546387893696,0.782314599766678,0.007778230938121,220.392486
F789355,0.878763969523181,0.840546,0.013838652236432,460.95381
F789355,0.866138700984436,0.866010285745717,0.005051978001738,220.818563
G789355,0.869155931371976,0.853421,0.018279393382,451.365525
G789355,0.824324894218199,0.824591500970273,0.008791542833416,217.615469
H789355,0.87233076905621,0.865819,0.009648849392347,452.424042
H789355,0.845359693982478,0.845560798946444,0.003810298207885,216.785646
A000598,0.658270874759938,0.706878,0.007265682551333,248.382093
A000598,0.754554874363181,0.755281918340894,0.003792332959884,138.419187
B000598,0.728263393893921,0.730455,0.007037083806338,249.074536
B000598,0.742687909379796,0.743015429894609,0.003212958226868,138.684716
C000598,0.689509075444143,0.712021,0.008142944822574,248.91855
C000598,0.770785278327788,0.770376415383046,0.004958170065917,138.692466
D000598,0.697266863044856,0.791005,0.006993615645269,252.487705
D000598,0.770104579877389,0.773339967432604,0.004047568363499,138.973462
E000598,0.761896648663384,0.758314,0.006111260814954,246.763219
E000598,0.783111694197627,0.78127973358706,0.002848596873794,138.971412
F000598,0.698183101076028,0.768558,0.008311040393151,249.718097
